Ticker,MomentumScore,Return12m
CDIS.L,-0.04118227903861854,-0.07718853170271012
EXH1.DE,0.0931349036763936,0.01825639727794015
EXV1.DE,0.3329311474512579,0.4250650148516917
EXV2.DE,0.15165814508001302,0.261733983983762
EXV3.DE,0.03151687042396459,-0.0730627806277887
EXV4.DE,-0.015105655874799423,-0.08003544145401364
EXV5.DE,-0.021789115372281564,-0.15192109127059017
EXV6.DE,-0.07603173464209312,-0.16563383548961275
EXV7.DE,0.04714725552875812,0.017114344905948098
EXV8.DE,0.1534575472927452,0.17959829298348762
EXV9.DE,0.04657719594132298,0.06512354511437124
JPJP.L,0.033717389525231345,0.012373158085318803
KWEB,0.12456296429296668,0.2741777986974301
SUAG.L,-0.04573196125445228,-0.042577757797312654
XCTE.L,0.13001631576344375,0.32895612461400914
XLB,0.01681475503522853,0.008513089312916833
XLC,0.12778777679018405,0.17894393859314572
XLE,0.021176499092469908,0.0019018552426013358
XLF,0.10948360629311021,0.216608744382079
XLI,0.11661109707144984,0.19019223195737522
XLK,0.08378915981648105,0.032349544203087444
XLP,0.035377841986029945,0.06541997404607924
XLRE,0.0582683898647994,0.12037026646811233
XLU,0.10015283885638337,0.21425932199758502
XLV,-0.042211617048532685,-0.04585962565882373
XLY,0.0711509336371634,0.12606514338205876
